1238,11,11,11,0,11,OH
1263,7,7,7,0,7,OH
1284,18,18,13,0,9,OH
1297,10,10,10,0,10,OH
1298,3,3,3,0,3,OH
1405,13,13,13,0,9,OH
1417,17,17,1,0,1,OH
1419,5,5,5,0,5,OH
1421,10,10,10,0,10,OH
1435,23,18,11,0,11,OH
1471,15,15,15,0,1,PA
1475,1,1,1,0,1,OH
1478,20,16,11,0,11,OH
1479,1,1,1,0,1,OH
1481,20,6,6,0,6,PA
1487,15,15,15,0,7,PA
1492,7,7,7,0,7,OH
1605,4,4,4,0,4,OH
1618,11,11,11,0,11,OH
1620,20,10,10,0,10,OH
1841,6,6,6,0,6,MD
1842,12,12,12,0,12,MD
2108,1,1,1,0,1,OH
2401,8,8,8,0,8,PA
2402,19,6,6,0,6,PA
2404,8,8,8,0,8,PA
2405,17,17,10,0,10,PA
2408,8,8,8,0,8,PA
2410,8,8,8,0,8,PA
2412,8,8,8,0,8,PA
2413,6,6,6,0,6,PA
2414,9,9,9,0,9,PA
2415,10,10,10,0,10,PA
2416,16,16,9,0,9,PA
2419,3,3,3,0,3,PA
2421,16,16,8,0,8,PA
2424,23,14,14,0,3,PA
2440,5,5,5,0,5,PA
2460,10,10,10,0,10,PA
2491,18,18,4,0,4,PA
2492,13,13,13,0,11,PA
4002,22,15,15,0,4,OH
4008,22,13,13,0,2,PA
4009,15,15,15,0,3,OH
4010,21,2,2,0,2,PA
4012,21,11,11,0,11,PA
4016,23,10,10,0,10,OH
4018,16,16,3,0,3,OH
4022,1,1,1,0,1,OH
4025,12,12,12,0,12,OH
4029,5,5,5,0,5,OH
4030,18,18,2,0,2,OH
4031,4,4,4,0,4,OH
4032,9,9,9,0,9,OH
4035,4,4,4,0,4,PA
4038,23,14,14,0,5,PA
4050,15,15,15,0,6,PA
4051,11,11,11,0,11,OH
4056,9,9,9,0,9,OH
4060,23,4,4,0,4,OH
4075,15,15,15,0,12,OH
4077,19,4,4,0,4,PA
4078,23,13,13,0,6,OH
4086,5,5,5,0,5,OH
4087,21,7,7,0,7,OH
4088,8,8,8,0,8,OH
4089,10,10,10,0,10,OH
4090,13,13,13,0,8,PA
4093,7,7,7,0,7,PA
4095,6,6,6,0,6,OH
4096,2,2,2,0,2,OH
4097,19,10,10,0,10,OH
4098,2,2,2,0,2,OH
4124,16,16,9,0,9,OH
4133,3,3,3,0,3,OH
4152,13,13,13,0,4,OH
4387,2,2,2,0,2,OH
4601,20,5,5,0,5,OH
4706,1,1,1,0,1,PA
5103,7,7,7,0,7,PA
5104,21,3,3,0,3,PA
5810,1,1,1,0,1,OH
5817,20,11,11,0,11,OH
5830,13,13,13,0,6,OH
5831,21,8,8,0,8,OH
5836,22,4,4,0,4,OH
5839,13,13,13,0,4,OH
5861,14,14,14,0,9,OH
5863,17,17,5,0,5,OH
5878,1,1,1,0,1,OH
6299,21,13,13,0,7,OH
6301,4,4,4,0,4,PA
6348,12,12,12,0,12,OH
6359,11,11,11,0,11,OH
6375,7,7,7,0,7,OH
6376,23,3,3,0,3,OH
6377,2,2,2,0,2,OH
6378,13,13,13,0,11,OH
6379,14,14,14,0,5,PA
6381,10,10,10,0,10,OH
6385,9,9,9,0,9,OH
6386,21,6,6,0,6,PA
6388,13,13,13,0,7,OH
6414,6,6,6,0,6,OH
6501,4,4,4,0,4,OH
6502,15,15,15,0,5,OH
6503,5,5,5,0,5,OH
6504,23,9,9,0,9,OH
6505,22,1,1,0,1,OH
6507,10,10,10,0,10,OH
6508,7,7,7,0,7,OH
6510,4,4,4,0,4,OH
6512,19,11,11,0,11,OH
6513,1,1,1,0,1,OH
6514,4,4,4,0,4,OH
6515,21,2,2,0,2,OH
6517,16,16,15,0,7,OH
6519,14,14,14,0,12,OH
6520,8,8,8,0,8,OH
6523,14,14,14,0,10,OH
6526,19,15,15,0,10,OH
6527,20,12,12,0,12,OH
6528,8,8,8,0,8,OH
6529,9,9,9,0,9,OH
6531,20,2,2,0,2,OH
6537,12,12,12,0,12,OH
6538,22,8,8,0,8,OH
6539,22,9,9,0,9,OH
